id_indicador,nombre,nota
1002000030,Defunciones generales,La información se presenta por lugar de residencia habitual del fallecido.
1002000030,Defunciones generales,Esta información se actualiza anualmente.
1002000031,Defunciones generales hombres,La información se presenta por lugar de residencia habitual del fallecido.
1002000032,Defunciones generales mujeres,La información se presenta por lugar de residencia habitual del fallecido.
1002000033,Defunciones generales de sexo no especificado,La información se presenta por lugar de residencia habitual del fallecido.
1002000034,Defunciones de menores de un año,La información se presenta por lugar de residencia habitual del fallecido.
1002000035,Defunciones de menores de un año hombres,La información se presenta por lugar de residencia habitual del fallecido.
1002000036,Defunciones de menores de un año mujeres,La información se presenta por lugar de residencia habitual del fallecido.
1002000037,Defunciones de menores de un año de sexo no especificado,La información se presenta por lugar de residencia habitual del fallecido.
6200240338,Suicidios registrados,"Defunciones registradas por entidad federativa de residencia habitual de la persona fallecida. La información corresponde a los suicidios registrados y clasificados con base en la Clasificación Internacional de Enfermedades (CIE); para los años de 1994 a 1997, CIE-9, Suicidios y lesiones autoinfligidas (950-959); a partir de 1998, a la CIE-10, Lesiones autoinfligidas intencionalmente (X60-X84)."
6200240468,Índice de sobremortalidad masculina,Es la relación de las defunciones masculinas por cada cien defunciones femeninas. Las cifras se refieren a las defunciones por entidad federativa de residencia habitual de la persona fallecida.
6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,"El cálculo se realizó con base en las defunciones generales de residencia habitual de la persona fallecida.  La información corresponde a los suicidios registrados y clasificados con base en la Clasificación Internacional de Enfermedades (CIE); para los años de 1994 a 1997, CIE-9, Suicidios y lesiones autoinfligidas (950-959); a partir de 1998, a la CIE-10, Lesiones autoinfligidas intencionalmente (X60-X84)."

